Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2020/01/01,180
2020/01/02,83
2020/01/03,82
2020/01/04,56
2020/01/05,50
2020/01/06,52
2020/01/07,64
2020/01/08,71
2020/01/09,96
2020/01/10,113
2020/01/11,100
2020/01/12,65
2020/01/13,84
2020/01/14,102
2020/01/15,96
2020/01/16,103
2020/01/17,83
2020/01/18,-999
2020/01/19,48
2020/01/20,27
2020/01/21,58
2020/01/22,64
2020/01/23,71
2020/01/24,96
2020/01/25,90
2020/01/26,90
2020/01/27,103
2020/01/28,71
2020/01/29,51
2020/01/30,53
2020/01/31,93
2020/02/01,78
2020/02/02,50
2020/02/03,53
2020/02/04,52
2020/02/05,25
2020/02/06,36
2020/02/07,54
2020/02/08,64
2020/02/09,86
2020/02/10,73
2020/02/11,45
2020/02/12,31
2020/02/13,49
2020/02/14,37
2020/02/15,68
2020/02/16,64
2020/02/17,56
2020/02/18,69
2020/02/19,64
2020/02/20,32
2020/02/21,56
2020/02/22,65
2020/02/23,52
2020/02/24,53
2020/02/25,75
2020/02/26,44
2020/02/27,19
2020/02/28,17
2020/02/29,31
2020/03/01,38
2020/03/02,33
2020/03/03,26
2020/03/04,29
2020/03/05,27
2020/03/06,31
2020/03/07,37
2020/03/08,22
2020/03/09,32
2020/03/10,34
2020/03/11,25
2020/03/12,31
2020/03/13,16
2020/03/14,29
2020/03/15,25
2020/03/16,30
2020/03/17,43
2020/03/18,49
2020/03/19,46
2020/03/20,53
2020/03/21,36
2020/03/22,32
2020/03/23,22
2020/03/24,24
2020/03/25,21
2020/03/26,23
2020/03/27,-999
2020/03/28,87
2020/03/29,88
2020/03/30,-999
2020/03/31,-999
2020/04/01,23
2020/04/02,33
2020/04/03,41
2020/04/04,47
2020/04/05,30
2020/04/06,23
2020/04/07,40
2020/04/08,38
2020/04/09,33
2020/04/10,36
